"psmid"|"early_articlesequence"|"latest_articlesequence"|"early_fulltitle"|"latest_fulltitle"|"early_aucomposed"|"latest_aucomposed"|"early_assetid"|"latest_assetid"|"atlashubuid"
"cho_diax_1949-1950_0000_000_0000"|"209"|"209"|"(ii) Broadcast Talk by H. E. The Commissioner-General, Mr. Malcolm Macdonald, on British Recognition of the Communist Government of China, 6 January 1950"|"2. Malaya"|"Mr. Malcolm"|""|"PRNTIT841730822"|"PRNTIT841730822"|""
"cho_diax_1949-1950_0000_000_0000"|"210"|"210"|"(iii) Statement on Federal Citizenship Issued by the Communities Liaison Committee, 18 April 1950"|"(i) Statement by the Prime Minister, Mr. Attlee, in the House of Commons, on the Government's Policy in Malaya, 13 April 1949"|""|"Mr. Attlee"|"RSXAGV825271606"|"RSXAGV825271606"|""
"cho_diax_1949-1950_0000_000_0000"|"211"|"211"|"3. Indo-China"|"(ii) Broadcast Talk by H. E. The Commissioner-General, Mr. Malcolm Macdonald, on British Recognition of the Communist Government of China, 6 January 1950"|""|"Mr. Malcolm / MacDonald"|"FMAZYH523811801"|"FMAZYH523811801"|""
"cho_diax_1949-1950_0000_000_0000"|"212"|"212"|"(i) Agreement between France and Viet Nam Embodied in an Exchange of Letters between M. Auriol, President of the French Republic and of the French Union, and his Majesty Bao Dai, 8 March 1949"|"(iii) Statement on Federal Citizenship Issued by the Communities Liaison Committee, 18 April 1950"|"Vincent Auriol"|""|"UUAELQ611716931"|"UUAELQ611716931"|""
"cho_diax_1949-1950_0000_000_0000"|"213"|"213"|"(ii) Message of Good Will from Mr. Acheson, the United States Secretary of State, Handed to his Majesty Bao Dai, by Dr. Jessup, 27 January 1950"|"3. Indo-China"|"Mr. Acheson"|""|"TVEOCE430266362"|"TVEOCE430266362"|""
"cho_diax_1949-1950_0000_000_0000"|"214"|"214"|"(iii) Statement by Mr. Acheson on the Situation in Indo-China and on the Need for United States Aid, 8 May 1950"|"(i) Agreement between France and Viet Nam Embodied in an Exchange of Letters between M. Auriol, President of the French Republic and of the French Union, and his Majesty Bao Dai, 8 March 1949"|"Mr. Acheson"|"Vincent Auriol / Henri Queuille / Robert Lecourt / Bao Dai"|"MKSCZX721751186"|"MKSCZX721751186"|""
"cho_diax_1949-1950_0000_000_0000"|"215"|"215"|"4. Japan"|"(ii) Message of Good Will from Mr. Acheson, the United States Secretary of State, Handed to his Majesty Bao Dai, by Dr. Jessup, 27 January 1950"|""|"Mr. Acheson / Bao Dai / Dr. Jessup"|"QDLWVD782276679"|"QDLWVD782276679"|""
"cho_diax_1949-1950_0000_000_0000"|"216"|"216"|"(i) Japanese Prisoners of War Retained in Areas under Russian Control"|"(iii) Statement by Mr. Acheson on the Situation in Indo-China and on the Need for United States Aid, 8 May 1950"|""|"Mr. Acheson"|"WGTMJL232344892"|"WGTMJL232344892"|""
"cho_diax_1951_0000_000_0000"|"186"|"186"|"(viii) Extract from a Speech in the House of Commons by the Foreign Secretary, Mr. Morrison, on Anglo-Egyptian Relations, 30 July 1951"|"(vii) The Empire Roach Incident"|"Mr. Morrison"|""|"ZFSEMV123216853"|"ZFSEMV123216853"|""
"cho_diax_1951_0000_000_0000"|"187"|"187"|"(ix) Extract from a Speech in the Egyptian Parliament by the Minister for Foreign Affairs, Salah Ud-Din Pasha, Replying to Mr. Morrison's Speech of 30 July, 6 August 1951"|"(viii) Extract from a Speech in the House of Commons by the Foreign Secretary, Mr. Morrison, on Anglo-Egyptian Relations, 30 July 1951"|"Mr. Morrison"|"Mr. Morrison"|"JTEBTS723189810"|"JTEBTS723189810"|""
"cho_diax_1951_0000_000_0000"|"188"|"188"|"(x) Exchange of Notes between Mr. Morrison and the Egyptian Prime Minister, Mustafa An-Nahhas Pasha, regarding Mr. Morrison's Speech of 30 July 1951"|"(ix) Extract from a Speech in the Egyptian Parliament by the Minister for Foreign Affairs, Salah Ud-Din Pasha, Replying to Mr. Morrison's Speech of 30 July, 6 August 1951"|"Mr. Morrison"|"Mr. Morrison"|"MZABBA028804561"|"MZABBA028804561"|""
"cho_diax_1951_0000_000_0000"|"189"|"189"|"(xi) Security Council Resolution Calling on Egypt to End its Restrictions on the Passage of Shipping through the Suez Canal, 1 September 1951"|"(x) Exchange of Notes between Mr. Morrison and the Egyptian Prime Minister, Mustafa An-Nahhas Pasha, regarding Mr. Morrison's Speech of 30 July 1951"|""|"Mr. Morrison"|"LQIWAB773502127"|"LQIWAB773502127"|""
"cho_diax_1951_0000_000_0000"|"192"|"192"|"(xiv) Statement by the United States Secretary of State, Mr. Acheson, Regretting Egypt's Rejection of the Four-Power Defence Proposals and Abrogation of the Anglo-Egyptian Treaty, 17 October 1951"|"(xiii) British Proposals on the Sudan, 13 October 1951"|"Mr. Acheson"|""|"SKQLEZ035561616"|"SKQLEZ035561616"|""
"cho_diax_1951_0000_000_0000"|"193"|"193"|"(xv) Statement in the House of Commons by the Foreign Secretary, Mr. Eden, on the Disturbances in the Suez Canal Zone and on the Cairo Riots, 29 January 1952"|"(xiv) Statement by the United States Secretary of State, Mr. Acheson, Regretting Egypt's Rejection of the Four-Power Defence Proposals and Abrogation of the Anglo-Egyptian Treaty, 17 October 1951"|"Mr. Eden"|"Mr. Acheson"|"EJGQAA166497210"|"EJGQAA166497210"|""
"cho_diax_1951_0000_000_0000"|"194"|"194"|"C. Persia"|"(xv) Statement in the House of Commons by the Foreign Secretary, Mr. Eden, on the Disturbances in the Suez Canal Zone and on the Cairo Riots, 29 January 1952"|""|"Mr. Eden"|"JCHYGO424479426"|"JCHYGO424479426"|""
"cho_diax_1951_0000_000_0000"|"196"|"196"|"(i) Supplemental Agreement between the Persian Government and the Anglo-Iranian Oil Company, Limited, Tehran, 17 July 1949"|"1. Nationalization of the oil industry"|"A. Q. Gulshayan"|""|"FEIRZE461119424"|"FEIRZE461119424"|""
"cho_diax_1951_0000_000_0000"|"197"|"197"|"(iii) Exchange of Notes between the British and Persian Governments on the Proposed Nationalization of the Oil Industry"|"(i) Supplemental Agreement between the Persian Government and the Anglo-Iranian Oil Company, Limited, Tehran, 17 July 1949"|"F. M. Shepherd"|"A. Q. Gulshayan / N. A. Gass"|"FAXMDP889919951"|"FAXMDP889919951"|""
"cho_diax_1951_0000_000_0000"|"199"|"199"|"(iv) Statement Issued by the Persian Embassy in London on the Proposed Nationalization of the Oil Industry, 16 April 1951"|"(iii) Exchange of Notes between the British and Persian Governments on the Proposed Nationalization of the Oil Industry"|""|"F. M. Shepherd / Husain Ala"|"PHTVJA152289370"|"PHTVJA152289370"|""
"cho_diax_1951_0000_000_0000"|"200"|"200"|"(v) Extract from a Statement in the House of Commons by the Secretary of State for Foreign Affairs, Mr. Herbert Morrison, on the United Kingdom's Attitude towards Negotiations with the Persian Government, 1 May 1951"|"(iv) Statement Issued by the Persian Embassy in London on the Proposed Nationalization of the Oil Industry, 16 April 1951"|"Mr. Herbert Morrison"|""|"PRCQYJ485429268"|"PRCQYJ485429268"|""
"cho_diax_1951_0000_000_0000"|"201"|"201"|"(vi) Law Nationalizing the Oil Industry in Persia, Promulgated on 1 May 1951"|"(v) Extract from a Statement in the House of Commons by the Secretary of State for Foreign Affairs, Mr. Herbert Morrison, on the United Kingdom's Attitude towards Negotiations with the Persian Government, 1 May 1951"|""|"Mr. Herbert Morrison"|"FPKWBG698606290"|"FPKWBG698606290"|""
"cho_diax_1951_0000_000_0000"|"203"|"203"|"(viii) Reply from Dr. Musaddiq to Mr. Morrison's Message, 8 May 1951"|"(vii) Telegram from Mr. Morrison to Sir Francis Shepherd, Incorporating a Message to the Persian Prime Minister, Dr. Musaddiq, 2 May 1951"|"Dr. Musaddiq"|""|"OKWXUN537014274"|"OKWXUN537014274"|""
"cho_diax_1951_0000_000_0000"|"204"|"204"|"2. Attempts at negotiation"|"(viii) Reply from Dr. Musaddiq to Mr. Morrison's Message, 8 May 1951"|""|"Dr. Musaddiq"|"WZLVVQ521085129"|"WZLVVQ521085129"|""
"cho_diax_1951_0000_000_0000"|"205"|"205"|"(i) Letter from Mr. N. R. Seddon, Chief Representative of the Anglo-Iranian Oil Company in Tehran, to Dr. Musaddiq, Informing Him of the Company's Appointment of an Arbitrator, 8 May 1951"|"2. Attempts at negotiation"|"N. R. Seddon"|""|"KZDSRW776866966"|"KZDSRW776866966"|""
"cho_diax_1951_0000_000_0000"|"206"|"206"|"(ii) Reply from the Persian Finance Minister, 20 May 1951"|"(i) Letter from Mr. N. R. Seddon, Chief Representative of the Anglo-Iranian Oil Company in Tehran, to Dr. Musaddiq, Informing Him of the Company's Appointment of an Arbitrator, 8 May 1951"|"Mohammed Ali Varasteh"|"N. R. Seddon"|"QODXFR953678387"|"QODXFR953678387"|""
"cho_diax_1951_0000_000_0000"|"207"|"207"|"(iii) Aide-Mémoire from Mr. Morrison to Dr. Musaddiq, Stating the British Government's Willingness to Send a Mission to Tehran to Discuss the Terms of a Further Agreement, 19 May 1951"|"(ii) Reply from the Persian Finance Minister, 20 May 1951"|"Mr. Morrison"|"Mohammed Ali Varasteh"|"XELAZC548753377"|"XELAZC548753377"|""
"cho_diax_1951_0000_000_0000"|"208"|"208"|"(iv) The United States Attitude to the Anglo-Persian Dispute"|"(iii) Aide-Mémoire from Mr. Morrison to Dr. Musaddiq, Stating the British Government's Willingness to Send a Mission to Tehran to Discuss the Terms of a Further Agreement, 19 May 1951"|""|"Mr. Morrison"|"LIWZHI666249077"|"LIWZHI666249077"|""
"cho_diax_1951_0000_000_0000"|"224"|"224"|"(iv) Extracts from a Speech in the Security Council by Sir Gladwyn Jebb, British Permanent Representative to the United Nations, 1 October 1951"|"(ii) Extracts from a Speech in the Security Council by Sir Gladwyn Jebb, British Permanent Representative to the United Nations, 1 October 1951"|"Sir Gladwyn Jebb"|"Sir Gladwyn Jebb"|"XEAFBL577454145"|"XEAFBL577454145"|""
"cho_diax_1952_0000_000_0000"|"62"|"62"|"(vi) Extracts from a Speech in the House of Commons by Mr. Eden during the Debate on the Contractual Agreements and the European Defence Treaty, 31 July 1952"|"(v) Resolution Asking for Four-Power Negotiations on German Unification, Adopted by the Bundestag on 10 July 1952"|"Mr. Eden"|""|"XPTKGY631632393"|"XPTKGY631632393"|""
"cho_diax_1952_0000_000_0000"|"63"|"63"|"(vii) Motion on the Contractual Agreements and the European Defence Treaty Moved by the Labour Opposition in the House of Commons and Defeated on 1 August 1952"|"(vi) Extracts from a Speech in the House of Commons by Mr. Eden during the Debate on the Contractual Agreements and the European Defence Treaty, 31 July 1952"|""|"Mr. Eden"|"BJXVAQ860734309"|"BJXVAQ860734309"|""
"cho_diax_1952_0000_000_0000"|"65"|"65"|"(ix) Resolution of the Volkskammer regarding the Russian Note of 23 August and Appointing a Delegation to Negotiate with the Federal Government on the Question of All-German Elections, 5 September 1952"|"(viii) Note from the U.S.S.R. To the Three Western Powers Rejecting their Proposals of 10 July and Presenting the Russian Agenda for a Four-Power Meeting, 23 August 1952"|"Hermann Matern"|""|"MYDQTM455148017"|"MYDQTM455148017"|""
"cho_diax_1952_0000_000_0000"|"66"|"66"|"(x) United States Reply to the Russian Note of 23 August, 23 September 1952"|"(ix) Resolution of the Volkskammer regarding the Russian Note of 23 August and Appointing a Delegation to Negotiate with the Federal Government on the Question of All-German Elections, 5 September 1952"|""|"Hermann Matern / Otto Nuschke / Dr. Karl Hamann / Heinrich Homann / Ernst Goldenbaum"|"XGUIVZ130405542"|"XGUIVZ130405542"|""
"cho_diax_1952_0000_000_0000"|"67"|"67"|"(xi) Extract from a Speech to the Italian Chamber by the Prime Minister, Signor Alcide De Gasperi, 22 October 1952"|"(x) United States Reply to the Russian Note of 23 August, 23 September 1952"|"Signor Alcide De Gasperi"|""|"CXIWTW302177610"|"CXIWTW302177610"|""
"cho_diax_1952_0000_000_0000"|"68"|"68"|"(xii) Resolution Protesting against the Denial of Democratic Rights in the SAAR, Adopted by the Bundestag on 18 November 1952"|"(xi) Extract from a Speech to the Italian Chamber by the Prime Minister, Signor Alcide De Gasperi, 22 October 1952"|""|"Signor Alcide De Gasperi"|"DOORWN236520528"|"DOORWN236520528"|""
"cho_diax_1952_0000_000_0000"|"69"|"69"|"(xiii) Letter from M. Schuman to the SAAR Prime Minister, Herr Johannes Hoffmann, Proposing Negotiations for the Modification of the Franco-Saar Conventions of 1950, 26 November 1952"|"(xii) Resolution Protesting against the Denial of Democratic Rights in the SAAR, Adopted by the Bundestag on 18 November 1952"|"R. Schuman"|""|"YMCCCY341790816"|"YMCCCY341790816"|""
"cho_diax_1952_0000_000_0000"|"70"|"70"|"(xiv) Resolution on the Contractual Agreements and the Defence Treaty, Adopted by the Bundestag on 5 December 1952"|"(xiii) Letter from M. Schuman to the SAAR Prime Minister, Herr Johannes Hoffmann, Proposing Negotiations for the Modification of the Franco-Saar Conventions of 1950, 26 November 1952"|""|"R. Schuman"|"APVKUF951238516"|"APVKUF951238516"|""
"cho_diax_1952_0000_000_0000"|"82"|"82"|"(i) Answers by Marshal Stalin to Questions Put by a Group of American Newspaper Editors, Published on 1 April 1952"|"A. State and Party"|"Marshal Stalin"|""|"PXJUJG379301643"|"PXJUJG379301643"|""
"cho_diax_1952_0000_000_0000"|"83"|"83"|"(ii) The Nineteenth Congress of the Communist Party"|"(i) Answers by Marshal Stalin to Questions Put by a Group of American Newspaper Editors, Published on 1 April 1952"|""|"Marshal Stalin"|"CUUOST756378029"|"CUUOST756378029"|""
"cho_diax_1952_0000_000_0000"|"84"|"84"|"(iii) Answers by Marshal Stalin to Questions Put by an American Journalist, Published on 25 December 1952"|"(ii) The Nineteenth Congress of the Communist Party"|"Marshal Stalin"|""|"EQPHAJ290478047"|"EQPHAJ290478047"|""
"cho_diax_1952_0000_000_0000"|"85"|"85"|"(iv) Announcement by Tass of the Arrest of Nine Russian Doctors on Charges of the Murder and Attempted Murder of Russian Leaders, 13 January 1953"|"(iii) Answers by Marshal Stalin to Questions Put by an American Journalist, Published on 25 December 1952"|""|"Marshal Stalin"|"GSZWFT343503031"|"GSZWFT343503031"|""
"cho_diax_1952_0000_000_0000"|"88"|"88"|"(ii) Extracts from a Speech to the International Economic Conference by the Russian Delegate, Mr. Mikhail Nesterov, 5 April 1952"|"(i) Statement Issued by the Preparatory Commission of the International Economic Conference in Moscow, Published on 15 February 1952"|"Mr. Mikhail Nesterov"|""|"IBJQAG347377187"|"IBJQAG347377187"|""
"cho_diax_1952_0000_000_0000"|"89"|"89"|"(iii) Communiqué Issued at the End of the International Economic Conference, Moscow, 12 April 1952"|"(ii) Extracts from a Speech to the International Economic Conference by the Russian Delegate, Mr. Mikhail Nesterov, 5 April 1952"|""|"Mr. Mikhail Nesterov"|"ZUSRSI864473535"|"ZUSRSI864473535"|""
"cho_diax_1952_0000_000_0000"|"96"|"96"|"(i) Extract from a Report by the Hungarian President of the Economic Council, Mr. Erno Gerö, on the Fulfilment of the Hungarian Plan for 1951 and on the Necessity for a More Constant Rhythm of Production in Industry, 12 January 1952"|"1. Industry and Agriculture"|"Mr. Erno Gerö"|""|"PUSWJW647252328"|"PUSWJW647252328"|""
"cho_diax_1952_0000_000_0000"|"97"|"97"|"(ii) Appeal to Peasants, Issued by the Polish United Workers' Party and United Peasants' Party, in Connexion with the Law on the Compulsory Delivery of Livestock, 15 February 1952"|"(i) Extract from a Report by the Hungarian President of the Economic Council, Mr. Erno Gerö, on the Fulfilment of the Hungarian Plan for 1951 and on the Necessity for a More Constant Rhythm of Production in Industry, 12 January 1952"|""|"Mr. Erno Gerö"|"BKSONT412854846"|"BKSONT412854846"|""
"cho_diax_1952_0000_000_0000"|"99"|"99"|"(iv) Extract from a Speech by Mr. Gheorghe Gheorghiu-Dej, Rumanian Prime Minister, on the Currency Reform in Rumania, 29 June 1952"|"(iii) Extracts from a Report by President Boleslaw Bierut to the Central Committee of the Polish United Workers' Party on the Development of Agriculture and the Necessity for Increased Collectivization, 14 June 1952"|"Mr. Gheorghe Gheorghiu-Dej"|""|"TONHSA816116881"|"TONHSA816116881"|""
"cho_diax_1952_0000_000_0000"|"100"|"100"|"(v) Extract from a Speech by the Czechoslovak Minister of National Security, Mr. Karol Bacilek, on the Problem of the Elimination of Sabotage in Czechoslovak Agriculture and Industry, 8 August 1952"|"(iv) Extract from a Speech by Mr. Gheorghe Gheorghiu-Dej, Rumanian Prime Minister, on the Currency Reform in Rumania, 29 June 1952"|"Mr. Karol Bacilek"|"Mr. Gheorghe Gheorghiu-Dej"|"UMDABM926273005"|"UMDABM926273005"|""
"cho_diax_1952_0000_000_0000"|"101"|"101"|"2. Politics"|"(v) Extract from a Speech by the Czechoslovak Minister of National Security, Mr. Karol Bacilek, on the Problem of the Elimination of Sabotage in Czechoslovak Agriculture and Industry, 8 August 1952"|""|"Mr. Karol Bacilek"|"ALWSOS650500954"|"ALWSOS650500954"|""
"cho_diax_1952_0000_000_0000"|"102"|"102"|"(i) Extracts from a Speech by Mr. Gheorghiu-Dej regarding Deviations by Mrs. Ana Pauker, Mr. Vasile Luca and Mr. Teohari Georgescu, 29 June 1952"|"2. Politics"|"Mr. Gheorghiu-Dej"|""|"ROVIJL576898997"|"ROVIJL576898997"|""
"cho_diax_1952_0000_000_0000"|"103"|"103"|"(ii) Extract from the Sentence Pronounced on Mr. Rudolf Slansky, Former Secretary-General of the Czechoslovak Communist Party, 27 November 1952"|"(i) Extracts from a Speech by Mr. Gheorghiu-Dej regarding Deviations by Mrs. Ana Pauker, Mr. Vasile Luca and Mr. Teohari Georgescu, 29 June 1952"|""|"Mr. Gheorghiu-Dej / Mrs. Ana Pauker / Mr. Vasile Luca / Mr. Teohari Georgescu"|"BPKOZY063894268"|"BPKOZY063894268"|""
"cho_diax_1952_0000_000_0000"|"118"|"118"|"(ii) The Military Coup"|"(i) Draft of the Self-Government Statute for the Sudan, Laid before the Sudan Legislative Assembly on 2 April 1952"|"Mohamed Naguib"|""|"UROLIG269828419"|"UROLIG269828419"|""
"cho_diax_1952_0000_000_0000"|"119"|"119"|"(iii) Letter from General Nag…b to the Regency Council Accepting the Council's Request to Him to from a Cabinet, 7 September 1952"|"(ii) The Military Coup"|""|"Mohamed Naguib / Farouk"|"WFTOAX487772069"|"WFTOAX487772069"|""
"cho_diax_1952_0000_000_0000"|"120"|"120"|"(iv) Official Communiqué from the Egyptian Army Headquarters on the Dismissal of Colonel Rashād Muhannā, One of the Three Regents, 14 October 1952"|"(iii) Letter from General Nag…b to the Regency Council Accepting the Council's Request to Him to from a Cabinet, 7 September 1952"|"Mohamed Naguib"|""|"TWRYKN612010754"|"TWRYKN612010754"|""
"cho_diax_1952_0000_000_0000"|"121"|"121"|"(v) Statement in the House of Commons by the Foreign Secretary, Mr. Eden, on Bringing into Force the Self-Government Statute for the Sudan, 22 October 1952"|"(iv) Official Communiqué from the Egyptian Army Headquarters on the Dismissal of Colonel Rashād Muhannā, One of the Three Regents, 14 October 1952"|"Mr. Eden"|"Mohamed Naguib"|"MKAEVI181856086"|"MKAEVI181856086"|""
"cho_diax_1952_0000_000_0000"|"122"|"122"|"(vi) Note from the Egyptian Government to the British Government concerning Self-Government and Self-Determination for the Sudan, 2 November 1952"|"(v) Statement in the House of Commons by the Foreign Secretary, Mr. Eden, on Bringing into Force the Self-Government Statute for the Sudan, 22 October 1952"|""|"Mr. Eden"|"RLSBWQ531351111"|"RLSBWQ531351111"|""
"cho_diax_1952_0000_000_0000"|"124"|"124"|"(i) Speech to the Knesset by the Israeli Prime Minister, Mr. David Ben-Gurion, on the Relations between Israel and the Arab States, 18 August 1952"|"B. Israel"|"Mr. David Ben-Gurion"|""|"WAPVDW046588537"|"WAPVDW046588537"|""
"cho_diax_1952_0000_000_0000"|"125"|"125"|"(ii) Comment by the Secretary-General of the Arab League,'abd Ur-Rahman 'Azzām Pasha, on Mr. Ben-Gurion's Speech of 18 August, 19 August 1952"|"(i) Speech to the Knesset by the Israeli Prime Minister, Mr. David Ben-Gurion, on the Relations between Israel and the Arab States, 18 August 1952"|""|"Mr. David Ben-Gurion"|"GJIKSI872885848"|"GJIKSI872885848"|""
"cho_diax_1952_0000_000_0000"|"135"|"135"|"(iii) The Anglo-American Proposals"|"(ii) Statement by the United States Department of State on Persian Requests for Financial Aid and Expressing Hopes for the Settlement of the Anglo-Persian Oil Dispute, 20 March 1952"|"Harry S. Truman"|""|"LLHHSH807129116"|"HRKSFC677856360"|""
"cho_diax_1952_0000_000_0000"|"136"|"136"|"(iv) Note from Persia to the United Kingdom Announcing the Breaking of Diplomatic Relations between the Two Countries, 22 October 1952"|"(iii) The Anglo-American Proposals"|""|"Harry S. Truman / Winston S. Churchill"|"YBSLZZ479228209"|"LLHHSH807129116"|""
"cho_diax_1952_0000_000_0000"|"140"|"140"|"(i) Seven-Point Programme for Tunisia Defined by Dr. Habib Borguiba, Leader of the New Dast…r Party, 14 April 1950"|"1. Tunisia"|"Dr. Habib Borguiba"|""|"ESEJSD383217341"|"VPIXUC434012136"|""
"cho_diax_1952_0000_000_0000"|"141"|"141"|"(ii) Decrees Giving Effect to the Proposals of the French Government regarding Administrative Reforms in Tunisia, Approved by the Bey of Tunis, 8 February 1951"|"(i) Seven-Point Programme for Tunisia Defined by Dr. Habib Borguiba, Leader of the New Dast…r Party, 14 April 1950"|""|"Dr. Habib Borguiba"|"GIATOW046838050"|"ESEJSD383217341"|""
"cho_diax_1952_0000_000_0000"|"143"|"143"|"(iv) Reply by M. Schuman, the French Foreign Minister, to the Tunisian Prime Minister, 15 December 1951"|"(iii) Memorandum from the Tunisian Government to the French Government regarding the Realization of Self-Government for Tunisia, 31 October 1951"|"M. Schuman"|""|"WPUDIB556855048"|"DISUHO234311209"|""
"cho_diax_1952_0000_000_0000"|"144"|"144"|"(v) Letter from the Tunisian Prime Minister, Mr. Muhammad Chenik, to the President of the Security Council Bringing to the Notice of the Council a Dispute between France and Tunisia, 12 January 1952"|"(iv) Reply by M. Schuman, the French Foreign Minister, to the Tunisian Prime Minister, 15 December 1951"|"M'hammed Chenik"|"M. Schuman"|"VICBQU097701105"|"WPUDIB556855048"|""
"cho_diax_1952_0000_000_0000"|"145"|"145"|"(vi) Speech in the French National Assembly by the Prime Minister, M. Edgar Faure, on the Government's Policy in Tunisia, 22 January 1952"|"(v) Letter from the Tunisian Prime Minister, Mr. Muhammad Chenik, to the President of the Security Council Bringing to the Notice of the Council a Dispute between France and Tunisia, 12 January 1952"|"M. Edgar Faure"|"M'hammed Chenik"|"MWYDLN735645379"|"VICBQU097701105"|""
"cho_diax_1952_0000_000_0000"|"146"|"146"|"(vii) Exchange of Telegrams between the Bey of Tunis and the French President, M. Auriol, regarding a Complaint by the Bey of Interference by the French Resident-General, M. Jean De Hautecloque"|"(vi) Speech in the French National Assembly by the Prime Minister, M. Edgar Faure, on the Government's Policy in Tunisia, 22 January 1952"|""|"M. Edgar Faure"|"SGLHNU592795172"|"MWYDLN735645379"|""
"cho_diax_1952_0000_000_0000"|"147"|"147"|"(viii) Extract from a Speech in the National Assembly by M. Schuman Outlining the French Government's Programme of Reforms for Tunisia, 19 June 1952"|"(vii) Exchange of Telegrams between the Bey of Tunis and the French President, M. Auriol, regarding a Complaint by the Bey of Interference by the French Resident-General, M. Jean De Hautecloque"|"M. Schuman"|""|"DEIHPM452249597"|"SGLHNU592795172"|""
"cho_diax_1952_0000_000_0000"|"148"|"148"|"(ix) Explanatory Memorandum Sent to the United Nations by Thirteen Arab and Asian States Together with a Request for the Inclusion of the Tunisian Question on the Agenda of the General Assembly, 30 July 1952"|"(viii) Extract from a Speech in the National Assembly by M. Schuman Outlining the French Government's Programme of Reforms for Tunisia, 19 June 1952"|""|"M. Schuman"|"LXDBJT288199826"|"DEIHPM452249597"|""
"cho_diax_1952_0000_000_0000"|"150"|"150"|"(xi) M. Auriol's Reply, 15 September 1952"|"(x) Extracts from a Letter from the Bey of Tunis to M. Auriol, Refusing to Sign the Reform Decrees Submitted to Him by the French Government, 9 September 1952"|"V. Auriol"|""|"ZTIMLC877692300"|"IPVSFF737246031"|""
"cho_diax_1952_0000_000_0000"|"151"|"151"|"(xii) Extracts from a Speech in the General Assembly by M. Schuman, Explaining the French Government's Reasons for Opposing Discussion by the General Assembly of the Tunisian and Moroccan Questions, 10 November 1952"|"(xi) M. Auriol's Reply, 15 September 1952"|"M. Schuman"|"V. Auriol"|"PFHVPP885405826"|"ZTIMLC877692300"|""
"cho_diax_1952_0000_000_0000"|"152"|"152"|"(xiii) Resolution Asking for the Dispatch of a Commission to Tunisia, Submitted to the Political Committee by the Arab and Asian States and Defeated on 12 December 1952"|"(xii) Extracts from a Speech in the General Assembly by M. Schuman, Explaining the French Government's Reasons for Opposing Discussion by the General Assembly of the Tunisian and Moroccan Questions, 10 November 1952"|""|"M. Schuman"|"PKPSVV683339119"|"PFHVPP885405826"|""
"cho_diax_1952_0000_000_0000"|"154"|"154"|"(xv) Decree regarding Municipal Organization and Administration in Tunisia, 20 December 1952"|"(xiv) Resolution Expressing Confidence in the French Government's Policies for Tunisia and Calling for Continued Negotiations for the Settlement of Disputes, Adopted by the General Assembly on 17 December 1952"|"J. De Hauteclocque"|""|"HFVXGU685884107"|"PGHLLP628748252"|""
"cho_diax_1952_0000_000_0000"|"155"|"155"|"2. Morocco"|"(xv) Decree regarding Municipal Organization and Administration in Tunisia, 20 December 1952"|""|"J. De Hauteclocque"|"EUYWZY335118262"|"HFVXGU685884107"|""
"cho_diax_1952_0000_000_0000"|"158"|"158"|"(iii) Statement in the National Assembly by M. Schuman on the French Government's Policy in Morocco, 22 November 1951"|"(ii) Declaration by the Grand Vizier of Morocco Condemning the Methods of the Istiqlal Party, Rabat, 25 February 1951"|"M. Schuman"|""|"LMUQIX878807040"|"BHKKLV942432452"|""
"cho_diax_1952_0000_000_0000"|"159"|"159"|"(iv) Explanatory Memorandum Adjoined to the Request by Thirteen Arab and Asian States for the Inclusion of the Question of Morocco in the Agenda of the General Assembly, 15 September 1952"|"(iii) Statement in the National Assembly by M. Schuman on the French Government's Policy in Morocco, 22 November 1951"|""|"M. Schuman"|"POLKIC279195908"|"LMUQIX878807040"|""
"cho_diax_1952_0000_000_0000"|"180"|"180"|"(viii) Telegram to the President of the General Assembly from Mr. Pakh Hen En, Minister for Foreign Affairs of the People's Democratic Republic of Korea, regarding the Assembly's Resolution of 3 December, 17 December 1952"|"(vii) Extracts from a Cable Sent by General Chou En-Lai, Minister for Foreign Affairs of the Chinese People's Republic, to Mr. Lester Pearson, President of the General Assembly, Commenting on the Assembly's Resolution of 3 December, 14 December 1952"|"Pakh Hen En"|""|"OLGKYA968914182"|"GILNZC361852516"|""
"cho_diax_1952_0000_000_0000"|"181"|"181"|"B. China"|"(viii) Telegram to the President of the General Assembly from Mr. Pakh Hen En, Minister for Foreign Affairs of the People's Democratic Republic of Korea, regarding the Assembly's Resolution of 3 December, 17 December 1952"|""|"Pakh Hen En"|"BOKOJD434470320"|"OLGKYA968914182"|""
"cho_diax_1952_0000_000_0000"|"183"|"183"|"(i) Note from the British Chargé D'affaires in Peking to the Chinese People's Government regarding the Difficulties of British Firms in China, 12 April 1952"|"1. Relations with the West"|"L. H. Lamb"|""|"BEDZTZ225670939"|"BYHRJN479893449"|""
"cho_diax_1952_0000_000_0000"|"184"|"184"|"(ii) Statement to the House of Commons by Mr. Eden on the Detention of Foreign Nationals in China, 21 April 1952"|"(i) Note from the British Chargé D'affaires in Peking to the Chinese People's Government regarding the Difficulties of British Firms in China, 12 April 1952"|"Mr. Eden"|"L. H. Lamb"|"AKWHNO341506419"|"BEDZTZ225670939"|""
