PSMID|Fulltitle|Article Sequence|Title|CHO Pub Type|Aucomposed|Prefix|First|Middle|Last|Suffix|Atlas Hub UID|PNA Notes
cho_iaxx_1971_0047_000_0000||7|The Threat from China'|Journals|Neville Maxwell||Neville||Maxwell||14718538|
cho_iaxx_1971_0047_000_0000||24|Book Review: South and South-East Asia|Journals|Neville Maxwell||Neville||Maxwell||14718538|
cho_iaxx_1971_0047_000_0000||109|Book Review: Far East and Pacific|Journals|Neville Maxwell||Neville||Maxwell||14718538|
cho_wtxx_1974_0030_000_0000||71|Africa's changing relationship with the EEC|Journals|Nicholas Hutton||Nicholas||Hutton||22382221|
cho_iaxx_1971_0047_000_0000||20|Book Review: Western Europe|Journals|Nigel Forman||Nigel||Forman||14493549|
cho_iaxx_1971_0047_000_0000||105|Book Review: U.S.S.R. and Eastern Europe|Journals|Nita Watts||Nita||Watts||22382223|
cho_byil_1949_0026_000_0000||40|The Jewish Yearbook of International Law|Survey and Documents|Norman Bentwich||Norman||Bentwich||14002025|
cho_iaxx_1944_0020_000_0000||80|Ethiopia Today|Journals|Norman Bentwich||Norman||Bentwich||14002025|
cho_iaxx_1944_0020_000_0000||87|Book Review: International Law and Organization|Journals|Norman Bentwich||Norman||Bentwich||14002025|
cho_iaxx_1944_0020_000_0000||9|Finance and Reconstruction|Journals|Norman Crump||Norman||Crump||22233676|
cho_book_1942_0001_000_0000|The Speeches of Adolf Hitler|Book Level||Books|Norman H. Baynes||Norman|H.|Baynes||22223281|
cho_book_1942_0002_000_0000|The Speeches of Adolf Hitler|Book Level||Books|Norman H. Baynes||Norman|H.|Baynes||22223281|
cho_byil_1931_0012_000_0000||16|"The Imperial Conference 1930 and ""Arbitration"""|Survey and Documents|O.||||O.|||can't ID
cho_iaxx_1944_0020_000_0000||69|Book Review: Europe|Journals|O. C. G.||O.|C.|G.|||no bio info found; Otto Charles Felix William Giles; d. 1980
cho_iaxx_1944_0020_000_0000||19|Book Review: Law and Procedure|Journals|O. C. Giles||O.|C.|Giles|||no bio info found; Otto Charles Felix William Giles; d. 1980
cho_iaxx_1944_0020_000_0000||92|Book Review: Europe|Journals|O. C. Giles||O.|C.|Giles|||no bio info found; Otto Charles Felix William Giles; d. 1980
cho_wtxx_1974_0030_000_0000||76|Italy - Republic without government?|Journals|P. A. Allum||P.|A.|Allum||22382225|
cho_wtxx_1953_0009_000_0000||21|Sovietization of the Czechoslovak Economy|Journals|P. B.||P.||B.|||can't ID
cho_wtxx_1953_0009_000_0000||73|The Fall in Commodity Prices|Journals|P. B.||P.||B.|||can't ID
cho_wtxx_1974_0030_000_0000||42|The frozen politics of Hong Kong|Journals|P. B. Harris||P.|B.|Harris||14506186|
cho_iaxx_1971_0047_000_0000||46|Book Review: Politics, Economics and Social|Journals|P. C. Lloyd||P.|C.|Lloyd||14715825|
cho_iaxx_1971_0047_000_0000||24|Book Review: South and South-East Asia|Journals|P. D. Reeves||P.|D.|Reeves||22382230|
cho_iaxx_1971_0047_000_0000||21|Book Review: U.S.S.R. and Eastern Europe|Journals|P. Frank||P.||Frank|||can't ID
cho_iaxx_1971_0047_000_0000||25|Book Review: Far East and Pacific|Journals|P. Ingham Ayre||P.|Ingham|Ayre|||no bio info found
cho_iaxx_1971_0047_000_0000||24|Book Review: South and South-East Asia|Journals|P. J. Griffiths||P.|J.|Griffiths||14637392|
cho_iaxx_1971_0047_000_0000||108|Book Review: South and South-East Asia|Journals|P. J. Honey||P.|J.|Honey||14554758|
cho_iaxx_1971_0047_000_0000||22|Book Review: Middle East|Journals|P. J. Vatikiotis||P.|J.|Vatikiotis||14520368|
cho_iaxx_1971_0047_000_0000||106|Book Review: Middle East|Journals|P. J. Vatikiotis||P.|J.|Vatikiotis||14520368|
cho_byil_1931_0012_000_0000||8|The Court of Chancery and Recognition 1804-31|Survey and Documents|P. L. Bushe-Fox B.A.||P.|L.|Bushe-Fox|B.A.||no bio info found
cho_wtxx_1953_0009_000_0000||109|President Shishekli and the Shaping of Syrian Policy|Journals|P. M. G.||P.|M.|G.|||can't ID
cho_iaxx_1944_0020_000_0000||91|Book Review: British Commonwealth of Nations|Journals|P. M. K.||P.|M.|K.||14241876|
cho_iaxx_1944_0020_000_0000||97|Book Review: Far East and Pacific|Journals|P. M. K.||P.|M.|K.||14241876|
cho_iaxx_1944_0020_000_0000||73|Book Review: Far East, South-East Asia and Pacific|Journals|P. M. Kaberry||P.|M.|Kaberry||14241876|
cho_iaxx_1944_0020_000_0000||28|The International Development of Economically Backward Areas|Journals|P. N. Rosenstein-Rodan||P.|N.|Rosenstein-Rodan||14327818|
cho_iaxx_1944_0020_000_0000||40|Book Review: Economics and Finance|Journals|P. R. B.||P.|R.|B.|||can't ID
cho_diax_1960_0000_000_0000||278|5. Letter from the Chilean Students' Federation to President Eisenhower, 24 February 1960|Survey and Documents|Patricio Fern?ndez President||Patricio||Fern?ndez|President|22382337|
cho_book_1976_0002_000_0000||62|Appendix: Arrangements for South African Gold Sales to Fund|Books|Paul A. Volcker||Paul|A.|Volcker||13011081|
cho_iaxx_1971_0047_000_0000||21|Book Review: U.S.S.R. and Eastern Europe|Journals|Paul Dukes||Paul||Dukes||14944612|
cho_iaxx_1971_0047_000_0000||50|Book Review: U.S.S.R. and Eastern Europe|Journals|Paul Dukes||Paul||Dukes||14944612|
cho_book_1968_streeten_000_0000|The Crisis of Indian Planning|Book Level||Books|Paul Streeten||Paul||Streeten||14930302|
cho_book_1968_streeten_000_0000||8|1 Two Types of Planning|Books|Paul Streeten||Paul||Streeten||14930302|
cho_book_1968_streeten_000_0000||22|11 Aid to India|Books|Paul Streeten||Paul||Streeten||14930302|
cho_wtxx_1974_0030_000_0000||53|Labour's 'renegotiation' policy: A Conservative view|Journals|Peter Blaker||Peter||Blaker||14389533|
cho_iaxx_1971_0047_000_0000||28|Book Review: Latin America and Caribbean|Journals|Peter Calvert||Peter||Calvert||14617793|
cho_iaxx_1971_0047_000_0000||53|Book Review: South and South-East Asia|Journals|Peter Calvert||Peter||Calvert||14617793|
cho_iaxx_1971_0047_000_0000||82|Book Review: North America|Journals|Peter Calvert||Peter||Calvert||14617793|
cho_iaxx_1971_0047_000_0000||28|Book Review: Latin America and Caribbean|Journals|Peter Flynn||Peter||Flynn||22382344|
cho_iaxx_1971_0047_000_0000||112|Book Review: Latin America and the Caribbean|Journals|Peter Flynn||Peter||Flynn||22382344|
cho_iaxx_1971_0047_000_0000||24|Book Review: South and South-East Asia|Journals|Peter Lyon||Peter||Lyon|||can't ID
cho_iaxx_1971_0047_000_0000||47|Book Review: Military|Journals|Peter Nailor||Peter||Nailor||22308804|
cho_iaxx_1971_0047_000_0000||111|Book Review: North America|Journals|Peter Nailor||Peter||Nailor||22308804|
cho_wtxx_1974_0030_000_0000||83|The US mid-term elections|Journals|Peter Strafford||Peter||Strafford||22350936|
cho_book_1967_toynbee_000_0000||9|Power without Influence The Impact on Non-Communist Economic Policy|Books|Peter Wiles||Peter||Wiles||15018761|
cho_iaxx_1971_0047_000_0000||36|The Declining Self-Confidence of the Super-Powers|Journals|Peter Wiles||Peter||Wiles||15018761|
cho_iaxx_1971_0047_000_0000||106|Book Review: Middle East|Journals|Peter Willey||Peter||Willey||14995010|
cho_wtxx_1974_0030_000_0000||31|NATO's twenty-five years|Journals|Philip Windsor||Philip||Windsor|||can't ID
cho_iaxx_1971_0047_000_0000||17|Book Review: Politics, Economics and Social|Journals|Phyllis Deane||Phyllis||Deane||22382387|
cho_wtxx_1974_0030_000_0000||63|Palestine: Peace talks and militancy|Journals|Pierre Rondot||Pierre||Rondot||22382398|
cho_wtxx_1974_0030_000_0000||33|The Malaysian miracle-and dilemma|Journals|Pran Chopra||Pran||Chopra||22382411|
cho_diax_1960_0000_000_0000||86|3. Statement by President Eisenhower upon the conclusion of the visit of the United States Secretary of the Treasury, Mr Anderson, and the Under-Secretary of State, Mr. Dillon, to West Germany, 28 November 1960|Survey and Documents|President Eisenhower|President|||Eisenhower||13029039|
cho_diax_1960_0000_000_0000||151|24. Statement by President Eisenhower, 7 September 1960|Survey and Documents|President Eisenhower|President|||Eisenhower||13029039|
cho_diax_1960_0000_000_0000||188|2. Extract from a speech by President Eisenhower to the General Assembly, 22 September 1960|Survey and Documents|President Eisenhower|President|||Eisenhower||13029039|
cho_diax_1960_0000_000_0000||227|8. Speech by President Eisenhower at Washington before departing for the Far East, 12 June 1960|Survey and Documents|President Eisenhower|President|||Eisenhower||13029039|
cho_diax_1960_0000_000_0000||229|10. Speech by President Eisenhower at Seoul, 20 June 1960|Survey and Documents|President Eisenhower|President|||Eisenhower||13029039|
cho_diax_1960_0000_000_0000||230|11. Extracts from a broadcast by President Eisenhower on his return from the Far East, 27 June 1960|Survey and Documents|President Eisenhower|President|||Eisenhower||13029039|
cho_diax_1960_0000_000_0000||274|1. Statement by President Eisenhower regarding United States-Cuba relations, 20 January 1960|Survey and Documents|President Eisenhower|President|||Eisenhower||13029039|
cho_diax_1960_0000_000_0000||301|28. Statement by President Eisenhower on the breaking-off of diplomatic relations between the United States and Cuba, 3 January 1961|Survey and Documents|President Eisenhower|President|||Eisenhower||13029039|
cho_diax_1960_0000_000_0000||150|23. Proclamation by President Kasavubu, 5 September 1960|Survey and Documents|President Kasavubu|President|||Kasavubu||13707481|
cho_diax_1960_0000_000_0000||193|1. Extracts from a speech by President Nasser at the inauguration of the first stage of the Aswan High Dam, 9 January 1960|Survey and Documents|President Nasser|President|||Nasser||13025607|
cho_diax_1960_0000_000_0000||204|12. Extracts from a speech by President Nasser, Port Said, 23 December 1960|Survey and Documents|President Nasser|President|||Nasser||13025607|
cho_byil_1920-1921_0001_000_0000||14|Submarine Warfare|Survey and Documents|Professor A. Pearce Higgins C.B.E., LL.D.|Professor|A.|Pearce|Higgins|C.B.E., LL.D.|14490121|
cho_byil_1920-1921_0001_000_0000||18|The Late Doctor T. J. Lawrence|Survey and Documents|Professor A. Pearce Higgins C.B.E., LL.D.|Professor|A.|Pearce|Higgins|C.B.E., LL.D.|14490121|
cho_iaxx_1944_0020_000_0000||54|The U.S.S.R. and South-Eastern Europe: Permanent Factors|Journals|Professor David Mitrany Ph.D., D.Sc.|Professor|David||Mitrany|Ph.D., D.Sc.|14814157|
cho_byil_1949_0026_000_0000||9|Restrictive Interpretation and the Principle of Effectiveness in the Interpretation of Treaties|Survey and Documents|Professor H. Lauterpacht K.C., LL.D., F.B.A.|Professor|H.||Lauterpacht|K.C., LL.D., F.B.A.|19113465|
cho_byil_1931_0012_000_0000||5|The Future of Codification|Survey and Documents|Professor J. L. Brierly O.B.E., D.C.L.|Professor|J.|L.|Brierly|O.B.E., D.C.L.|22236397|
cho_iaxx_1944_0020_000_0000||57|International Law: Its Actual Part in World Affairs|Journals|Professor J. L. Brierly O.B.E., D.C.L.|Professor|J.|L.|Brierly|O.B.E., D.C.L.|22236397|
cho_byil_1949_0026_000_0000||12|The Organization of American States and the Council of Europe|Survey and Documents|Professor M. Margaret Ball|Professor|M.|Margaret|Ball||14385716|
cho_book_1965_purcell_000_0000||72|Appendix I The Southern Dialects of Chinese|Books|R. A. D. Forrest M.A.||R.|A. D.|Forrest|M.A.||no nationality found; Forrest, Robert Andrew Dermod; historical linguist, writer; 1893-; 
cho_iaxx_1971_0047_000_0000||50|Book Review: U.S.S.R. and Eastern Europe|Journals|R. Ainsztein||R.||Ainsztein||14363855|
cho_iaxx_1971_0047_000_0000||99|Book Review: History|Journals|R. Ainsztein||R.||Ainsztein||14363855|
cho_byil_1949_0026_000_0000||8|Aspects of State Sovereignty|Survey and Documents|R. B. Finlay||R.|B.|Finlay||14477156|
cho_iaxx_1971_0047_000_0000||48|Book Review: Law|Journals|R. Beermann||R.||Beermann|||can't ID
cho_iaxx_1971_0047_000_0000||15|Book Review: History|Journals|R. Cecil||R.||Cecil||13671043|
cho_iaxx_1971_0047_000_0000||44|Book Review: History|Journals|R. Cecil||R.||Cecil||13671043|
cho_iaxx_1971_0047_000_0000||104|Book Review: Western Europe|Journals|R. Cecil||R.||Cecil||13671043|
cho_wtxx_1953_0009_000_0000||13|The International Confederation of Free Trade Unions|Journals|R. F.||R.||F.||17960203|
cho_wtxx_1953_0009_000_0000||103|Labour under the European Coal and Steel Community|Journals|R. F.||R.||F.||17960203|
cho_iaxx_1944_0020_000_0000||86|Book Review: Peace Conference 1919|Journals|R. Flenley||R.||Flenley||17960203|
cho_book_1963_higgins_000_0000||5|Preface|Books|R. H.||R.||H.||14302820|
cho_byil_1949_0026_000_0000||14|The Domicil of a Widow in the English Conflict of Laws|Survey and Documents|R. H. Graveson PH.D., S.J.D., LL.M.||R.|H.|Graveson|PH.D., S.J.D., LL.M.|14640801|
cho_iaxx_1944_0020_000_0000||17|Book Review: General|Journals|R. I. K.||R.|I.|K.|||can't ID
cho_iaxx_1944_0020_000_0000||22|Book Review: Europe|Journals|R. I. K.||R.|I.|K.|||can't ID
cho_iaxx_1944_0020_000_0000||40|Book Review: Economics and Finance|Journals|R. I. K.||R.|I.|K.|||can't ID
cho_iaxx_1944_0020_000_0000||42|Book Review: Post-War Aims|Journals|R. I. K.||R.|I.|K.|||can't ID
cho_iaxx_1944_0020_000_0000||92|Book Review: Europe|Journals|R. L.||R.||L.|||can't ID
cho_iaxx_1944_0020_000_0000||73|Book Review: Far East, South-East Asia and Pacific|Journals|R. L. Craigie||R.|L.|Craigie||13678922|
cho_iaxx_1944_0020_000_0000||43|Book Review: British Commonwealth of Nations|Journals|R. L. Fredenburgh||R.|L.|Fredenburgh||22292171|
cho_iaxx_1971_0047_000_0000||51|Book Review: Middle East|Journals|R. M. Burrell||R.|M.|Burrell||22302028|
cho_iaxx_1971_0047_000_0000||77|Book Review: Middle East|Journals|R. M. Burrell||R.|M.|Burrell||22302028|
cho_iaxx_1971_0047_000_0000||106|Book Review: Middle East|Journals|R. M. Burrell||R.|M.|Burrell||22302028|
cho_iaxx_1944_0020_000_0000||69|Book Review: Europe|Journals|R. M. Dawkins||R.|M.|Dawkins|||possibly Dawkins, Richard MacGillivray, 24 October 1871 - 4 May 1955; British college teacher, archaeologist and writer; http://en.wikipedia.org/wiki/Richard_MacGillivray_Dawkins; UID 19092143
cho_wtxx_1974_0030_000_0000||48|India and the oil problem|Journals|R. M. Honavar||R.|M.|Honavar||22382476|
cho_byil_1949_0026_000_0000||44|Les Nations Unies et les R?fugi?s|Survey and Documents|R. Nathan-Chapotot||R.||Nathan-Chapotot|||no bio info found
cho_iaxx_1944_0020_000_0000||26|Book Review: Far East and Pacific|Journals|R. O. Winstedt||R.|O.|Winstedt||15045839|
cho_iaxx_1944_0020_000_0000||69|Book Review: Europe|Journals|R. P. Bell||R.|P.|Bell|||can't ID
cho_book_1974_morgan_000_0000||5|Acknowledgements|Books|R. P. M.||R.|P.|M.||14774333|
cho_wtxx_1974_0030_000_0000||9|Chinese economic performance|Journals|R. P. Sinha||R.|P.|Sinha||22377448|
cho_wtxx_1974_0030_000_0000||55|Japan and the oil crisis|Journals|R. P. Sinha||R.|P.|Sinha||22377448|
cho_iaxx_1971_0047_000_0000||70|Book Review: History|Journals|R. R. Feilden||R.|R.|Feilden|||possibly Ramsay Robert Feilden
cho_book_1948_kuczynski_000_0000|Demographic Survey of the British Colonial Empire|Book Level||Books|R. R. Kuczynski||R.|R.|Kuczynski||17593735|
cho_book_1948_kuczynski_000_0000||4|Preface|Books|R. R. Kuczynski||R.|R.|Kuczynski||17593735|
cho_iaxx_1944_0020_000_0000||75|World Population Problems|Journals|R. R. Kuczynski||R.|R.|Kuczynski||17593735|
cho_iaxx_1971_0047_000_0000||18|Book Review: Military|Journals|R. Ranger||R.||Ranger|||possibly Robert Ranger; UID 22377515; British college teacher, political scientist and writer; also could be Robin Ranger, see below
cho_wtxx_1953_0009_000_0000||19|The West German Political Parties and Rearmament|Journals|R. S.||R.||S.|||can't ID
cho_wtxx_1953_0009_000_0000||91|Dr. Musaddiq and After|Journals|R. W. B.||R.|W.|B.|||can't ID
cho_byil_1949_0026_000_0000||37|A Treatise on the Law of Prize|Survey and Documents|R. Y. J.||R.|Y.|J.||13707249|
cho_byil_1949_0026_000_0000||29|A. Public International Law|Survey and Documents|R. Y. Jennings||R.|Y.|Jennings||13707249|
cho_byil_1949_0026_000_0000||35|The Law of Nations|Survey and Documents|R. Y. Jennings||R.|Y.|Jennings||13707249|
cho_book_1946_0000_001_0000||31|2. Mandate for Palestine|Books|Rappard||||||22238034|
cho_iaxx_1971_0047_000_0000||65|Soviet Defence Spending and Soviet External Relations|Journals|Raymond Hutchings||Raymond||Hutchings||14555759|
cho_iaxx_1971_0047_000_0000||105|Book Review: U.S.S.R. and Eastern Europe|Journals|Raymond Hutchings||Raymond||Hutchings||14555759|
cho_byil_1949_0026_000_0000||43|Manuale di Diritto Internazionale Pubblico e Privato|Survey and Documents|Riccardo Monaco||Riccardo||Monaco||22382483|
cho_iaxx_1971_0047_000_0000||72|Book Review: Politics, Economics and Social|Journals|Richard Bailey||Richard||Bailey|||can't ID
cho_wtxx_1974_0030_000_0000||60|Notes of the month: Greece and the Cyprus Crisis|Journals|Richard Clogg||Richard||Clogg||14625455|
cho_byil_1949_0026_000_0000||8|Aspects of State Sovereignty|Survey and Documents|Richard E. Webster||Richard|E.|Webster|||can't ID
cho_diax_1960_0000_000_0000|Documents of International Affairs|Book Level||Survey and Documents|Richard Gott||Richard||Gott||14669398|
cho_diax_1960_0000_000_0000||4|Preface|Survey and Documents|Richard Gott||Richard||Gott||14669398|
cho_book_1967_toynbee_000_0000||10|The Model of the Totalitarian State|Books|Richard Lowenthal||Richard||Lowenthal||22298854|
cho_iaxx_1971_0047_000_0000||53|Book Review: South and South-East Asia|Journals|Richard Symonds||Richard||Symonds||14941575|
cho_book_1968_streeten_000_0000||18|8 Population Control: Aims and Policies|Books|Robert Cassen||Robert||Cassen||22345426|
cho_iaxx_1971_0047_000_0000||28|Book Review: Latin America and Caribbean|Journals|Robert Dervel Evans||Robert|Dervel|Evans|||no bio info found
cho_iaxx_1971_0047_000_0000||112|Book Review: Latin America and the Caribbean|Journals|Robert Dervel Evans||Robert|Dervel|Evans|||no bio info found
cho_iaxx_1971_0047_000_0000||77|Book Review: Middle East|Journals|Robert Mabro||Robert||Mabro||22320729|
cho_iaxx_1971_0047_000_0000||78|Book Review: Africa|Journals|Robert Mabro||Robert||Mabro||22320729|
cho_wtxx_1974_0030_000_0000||69|MBFR: Political or technical arms control?|Journals|Robin Ranger||Robin||Ranger|||can't ID, possibly should be Robert Ranger; UID 22377515; British college teacher, political scientist and writer
cho_wtxx_1974_0030_000_0000||56|Gaullist foreign policy in retrospect|Journals|Roger Bernos||Roger||Bernos||22382485|
cho_iaxx_1971_0047_000_0000||47|Book Review: Military|Journals|Roger Carey||Roger||Carey||22377674|
cho_iaxx_1971_0047_000_0000||73|Book Review: Military|Journals|Roger Carey||Roger||Carey||22377674|
cho_book_1968_streeten_000_0000||22|11 Aid to India|Books|Roger Hill||Roger||Hill|||can't ID
cho_book_1968_streeten_000_0000||24|Statistical Appendix|Books|Roger Hill||Roger||Hill|||can't ID
cho_book_1974_morgan_000_0000|The United States and West Germany|Book Level||Books|Roger Morgan||Roger||Morgan||14774333|
cho_iaxx_1971_0047_000_0000||45|Book Review: International|Journals|Roger Morgan||Roger||Morgan||14774333|
cho_iaxx_1971_0047_000_0000||56|Book Review: North America|Journals|Roger Morgan||Roger||Morgan||14774333|
cho_iaxx_1971_0047_000_0000||63|Washington and Bonn: A Case Study in Alliance Politics|Journals|Roger Morgan||Roger||Morgan||14774333|
cho_iaxx_1971_0047_000_0000||97|Book Review: Games Pundits Play|Journals|Roger Morgan||Roger||Morgan||14774333|
cho_wtxx_1974_0030_000_0000||11|Can Europe have a foreign policy?|Journals|Roger Morgan||Roger||Morgan||14774333|
cho_iaxx_1971_0047_000_0000||22|Book Review: Middle East|Journals|Roger Owen||Roger||Owen||22379965|
cho_iaxx_1971_0047_000_0000||52|Book Review: Africa|Journals|Roger Scott||Roger||Scott||13976051|
cho_iaxx_1971_0047_000_0000||79|Book Review: South and South-East Asia|Journals|Roger Scott||Roger||Scott||13976051|
cho_iaxx_1971_0047_000_0000||50|Book Review: U.S.S.R. and Eastern Europe|Journals|Ron Amann||Ron||Amann||14361961|
cho_iaxx_1971_0047_000_0000||82|Book Review: North America|Journals|Ronald Fredenburgh||Ronald||Fredenburgh||22292171|
cho_iaxx_1971_0047_000_0000||10|Sir Basil Liddell Hart: The Captain who Taught Generals|Journals|Ronald Lewin||Ronald||Lewin||14726213|
cho_iaxx_1971_0047_000_0000||47|Book Review: Military|Journals|Ronald Lewin||Ronald||Lewin||14726213|
cho_iaxx_1971_0047_000_0000||102|Book Review: Military|Journals|Ronald Lewin||Ronald||Lewin||14726213|
cho_iaxx_1944_0020_000_0000||93|Book Review: Middle East and Mediterranean|Journals|Ronald Storrs||Ronald||Storrs||14002505|
cho_book_1963_higgins_000_0000|The Development of International Law through the Political Organs of the United Nations|Book Level||Books|Rosalyn Higgins M.A., LL.B.(Cantab), J.S.D.(Yale)||Rosalyn||Higgins|M.A., LL.B.(Cantab), J.S.D.(Yale)|14302820|
cho_iaxx_1971_0047_000_0000||78|Book Review: Africa|Journals|Rosemary Harris||Rosemary||Harris|||can't ID
cho_book_1976_0002_000_0000||31|Appendix B: Letter of Intent from the British Chancellor of the Exchequer to the Managing Director of the IMF, 22 June 1969|Books|Roy Jenkins||Roy||Jenkins||13006594|
cho_book_1938_gathorne_000_0000||5|Preface to the First Edition|Books|Rt. Hon. Lord Eustace Percy|Rt. Hon. Lord|Eustace||Percy||18058138|
cho_iaxx_1944_0020_000_0000||20|Book Review: War and Strategy|Journals|Russell Grenfell||Russell||Grenfell||22382488|
cho_iaxx_1971_0047_000_0000||101|Book Review: Politics, Economics and Social|Journals|Ruth R. Troeller||Ruth|R.|Troeller|||no bio info found
cho_wtxx_1953_0009_000_0000||45|Argentina's Problems Today|Journals|S. A.||S.||A.|||can't ID
cho_iaxx_1971_0047_000_0000||22|Book Review: Middle East|Journals|S. C. Leslie||S.|C.|Leslie||13781943|
cho_iaxx_1971_0047_000_0000||77|Book Review: Middle East|Journals|S. C. Leslie||S.|C.|Leslie||13781943|
cho_iaxx_1971_0047_000_0000||106|Book Review: Middle East|Journals|S. C. Leslie||S.|C.|Leslie||13781943|
cho_iaxx_1971_0047_000_0000||17|Book Review: Politics, Economics and Social|Journals|S. E. Finer||S.|E.|Finer||14477987|
cho_iaxx_1971_0047_000_0000||78|Book Review: Africa|Journals|S. E. Katzenellenbogen||S.|E.|Katzenellenbogen||22382725|
cho_wtxx_1953_0009_000_0000||82|The Kashmir Problem|Journals|S. O.||S.||O.|||can't ID
cho_byil_1949_0026_000_0000||25|Recognition of States by the United Nations|Survey and Documents|S. Rosenne||S.||Rosenne||22382732|
cho_byil_1949_0026_000_0000||8|Aspects of State Sovereignty|Survey and Documents|S. Shepherd||S.||Shepherd|||can't ID
cho_iaxx_1944_0020_000_0000||19|Book Review: Law and Procedure|Journals|S. W. D. Rowson||S.|W. D.|Rowson||22382732|
cho_iaxx_1944_0020_000_0000||62|Book Review: General|Journals|S. W. D. Rowson||S.|W. D.|Rowson||22382732|
cho_wtxx_1974_0030_000_0000||5|Note of the month: Britain and the EEC - One Year of Enlargement|Journals|S. Z. Young||S.|Z.|Young|||no bio info found; Young, Simon Zachary
cho_wtxx_1974_0030_000_0000||24|Notes of the month: The EEC: Prospects for Renegotiation|Journals|S. Z. Young||S.|Z.|Young|||no bio info found; Young, Simon Zachary
cho_diax_1960_0000_000_0000||288|15. Extract from the speech by the Venezuelan Foreign Minister, Se?or Arcaya, to the Sixth Meeting of Consultation of the Foreign Ministers of the Organization of American States (O. A. S.), in San Jos? (Costa Rica), 17 August 1960|Survey and Documents|Se?or Arcaya|Se?or|||Arcaya||22382740|
cho_diax_1960_0000_000_0000||286|13. Speech by Senor Jos? Correa, President of the Security Council, in his capacity as representative of Ecuador in the Security Council, 19 July 1960|Survey and Documents|Senor Jos? Correa|Senor|Jos?||Correa||22382747|
cho_diax_1960_0000_000_0000||293|20. Extract from the speech by the Cuban Foreign Minister, Se?or Roa, to the Seventh Meeting of Consultation of the Foreign Ministers of the O. A. S. in San Jos?, 25 August 1960|Survey and Documents|Se?or Roa|Se?or|||Roa||14326616|
cho_diax_1960_0000_000_0000||291|18. Extracts from the speech by the Colombian Foreign Minister, Se?or Turbay, to the Seventh Meeting of Consultation of the Foreign Ministers of the O. A. S. in San Jos?, 23 August 1960|Survey and Documents|Se?or Turbay|Se?or|||Turbay||13009176|
cho_wtxx_1974_0030_000_0000||80|Oil: Towards a new producer-consumer relationship|Journals|Sheikh Ahmed Zaki Yamani||Sheikh|Ahmed Zaki|Yamani||13273848|
cho_wtxx_1974_0030_000_0000||47|The uncertainty of monetary reform|Journals|Sidney Weintraub||Sidney||Weintraub|||can't ID - there are 2 American economists by this name  see Atlas and Wikipedia to determine which is correct
cho_book_1968_streeten_000_0000||21|10 Foreign Trade: A Commodity Study|Books|Sidney Wells||Sidney||Wells||22308904|
cho_iaxx_1944_0020_000_0000||65|Book Review: War and Strategy|Journals|Sikh|||||||can't ID
cho_iaxx_1971_0047_000_0000||78|Book Review: Africa|Journals|Simon Katzenellenbogen||Simon||Katzenellenbogen||22382725|
cho_wtxx_1974_0030_000_0000||62|Britain and the Community: The meaning of renegotiation|Journals|Simon Z. Young||Simon|Z.|Young|||no bio info found; Young, Simon Zachary
cho_byil_1949_0026_000_0000||8|Aspects of State Sovereignty|Survey and Documents|Sir Arnold McNair K. C.|Sir|Arnold||McNair|K. C.|22382750|
cho_iaxx_1944_0020_000_0000||56|Colonial Development and Welfare|Journals|Sir Bernard H. Bourdillon G.C.M.G., K.B.E.|Sir|Bernard|H.|Bourdillon|G.C.M.G., K.B.E.|22213390|
cho_byil_1949_0026_000_0000||2|Front Matter|Survey and Documents|Sir Cecil J. B. Hurst G.C.M.G., K.C.B., K.C., LL.D.|Sir|Cecil|J. B.|Hurst|G.C.M.G., K.C.B., K.C., LL.D.|14510489|
cho_byil_1949_0026_000_0000||7|Sir Cecil Hurst's Services to International Law|Survey and Documents|Sir Eric Beckett K.C.M.G., K.C.|Sir|Eric||Beckett|K.C.M.G., K.C.|22382765|
cho_byil_1920-1921_0001_000_0000||7|The British Prize Courts and the War|Survey and Documents|Sir Erle Richards K.C.S.I., K.C.|Sir|Erle||Richards|K.C.S.I., K.C.||possibly Henry Erle Richards, 1861-1922, British law teacher; http://en.wikisource.org/wiki/Author:Henry_Erle_Richards
cho_byil_1920-1921_0001_000_0000||8|Sovereignty and the League of Nations|Survey and Documents|Sir Geoffrey Butler K.B.E., M.A.|Sir|Geoffrey||Butler|K.B.E., M.A.|22382775|
cho_byil_1920-1921_0001_000_0000||16|International Labour Conventions|Survey and Documents|Sir John MacDonell K.C.B.|Sir|John||MacDonell|K.C.B.||can't ID
cho_iaxx_1944_0020_000_0000||55|Observations on a Post-War Settlement in South-East Asia|Journals|Sir Josiah Crosby K.C.M.G., K.B.E.|Sir|Josiah||Crosby|K.C.M.G., K.B.E.|22246862|
cho_book_1948_wakefield_000_0000|New Paths for Japan|Book Level||Books|Sir Paul Butler K.C.M.G.|Sir|Paul||Butler|K.C.M.G.||can't ID
cho_book_1948_wakefield_000_0000||5|Introduction|Books|Sir Paul Butler K.C.M.G.|Sir|Paul||Butler|K.C.M.G.||can't ID
cho_iaxx_1971_0047_000_0000||106|Book Review: Middle East|Journals|Stephen H. Longrigg||Stephen|H.|Longrigg||14718837|
cho_wtxx_1974_0030_000_0000||8|The Afghani coup and the peace of the Northern Tier|Journals|Stephen Oren||Stephen||Oren||22351099|
